Genotype Germplasm Treatment Compartment Block Plot Lasiosphaeriaceae Chaetomiaceae Pezizomycotina_fam_Incertae_sedis Sordariaceae Trichosphaeriaceae Bartaliniaceae Xylariales_fam_Incertae_sedis Chaetosphaeriaceae Myrmecridiaceae Microascales_fam_Incertae_sedis Microascaceae Togniniaceae Periconiaceae Herpotrichiellaceae Cladosporiaceae Mycosphaerellaceae Leotiaceae Piskurozymaceae Pyronemataceae Sanchytriaceae Sympoventuriaceae Chytridiaceae Mortierellaceae Chrysozymaceae Mrakiaceae Rhizophydiaceae Geastraceae Ceratobasidiaceae Rhizopodaceae Entolomataceae Strophariaceae Ganodermataceae Cantharellales_fam_Incertae_sedis Piptocephalidaceae Phaeosphaeriaceae Gymnoascaceae Pleosporaceae Didymosphaeriaceae Thyridariaceae Stachybotryaceae Bionectriaceae Hypocreales_fam_Incertae_sedis Aspergillaceae Arachnomycetaceae Trichocomaceae Myxotrichaceae Hyaloscyphaceae Pseudeurotiaceae Onygenales_fam_Incertae_sedis Sordariales_fam_Incertae_sedis Glomerellaceae Pezizaceae Clavicipitaceae Hypocreaceae Nectriaceae Cordycipitaceae Helotiaceae Niessliaceae Ophiocordycipitaceae
CK_S115_3 X115 Hybrid CK Rhizosphere 3 P11 269 433 1336 0 11 28 104 25 46 3 5 75 0 83 0 0 0 310 9 0 0 0 466 8 0 3 0 0 69 0 0 0 0 14 0 0 2 0 0 113 330 3869 2002 0 86894 12 3 689 0 13 3 0 127 309 1860 4 72 33 9
CK_S116_1 X116 Hybrid CK Rhizosphere 1 P08 241 117 386 0 0 5 179 16 118 0 6 161 0 258 0 3 0 254 20 33 9 0 11204 14 5 29 0 0 90 3 0 0 12 145 0 2 6 2 0 85 1009 2595 3060 4 4307 0 3 2645 11 33 0 0 102 429 2556 0 226 40 5
CK_S116_2 X116 Hybrid CK Rhizosphere 2 P08 170 107 1088 0 0 12 141 22 379 0 0 57 30 215 0 15 0 584 10 0 5 218 615 22 0 0 0 304 163 46 0 5 15 35 12 7 0 2 17 31 666 5008 11202 0 36454 2 0 998 0 9 6 0 5896 418 7183 0 183 13 2
CK_S116_3 X116 Hybrid CK Rhizosphere 3 P08 165 266 990 10 2 9 84 69 21 0 2 43 0 29 0 8 0 111 0 0 0 0 217 3 0 0 0 74 104 0 0 0 0 0 2 0 0 0 7 46 479 29310 11018 0 46768 5 0 477 0 0 0 3 111 303 998 7 110 22 29
CK_S117_1 X117 Hybrid CK Rhizosphere 1 P14 192 58 609 0 0 24 133 6 35 0 0 43 0 178 36 0 3 49 16 0 0 9 540 4 0 0 0 27 7989 202 0 0 0 0 17 0 5 4 9 35 765 1295 1824 0 37998 3 0 291 3 6 0 0 352 723 2357 79 632 24 14
CK_S117_2 X117 Hybrid CK Rhizosphere 2 P14 110 72 133 0 0 65 71 14 34 0 14 39 0 176 45 7 8 182 89 0 0 55 1526 10 39 0 0 26 12139 571 0 0 0 35 3 2 0 24 22 11 893 462 2024 0 30351 8 0 2020 14 0 0 0 239 1362 2050 28 1273 23 4
CK_S117_3 X117 Hybrid CK Rhizosphere 3 P14 139 240 771 0 0 0 80 8 21 0 17 35 0 22 0 0 0 91 0 4 0 0 492 0 0 0 0 2 100 0 0 2 0 6 3 0 2 9 7 29 311 2013 1337 0 65714 5 0 329 0 9 2 0 64 198 1077 0 41 11 16
CK_S118_1 X118 Hybrid CK Rhizosphere 1 P08 1074 523 3965 0 17 23 242 41 115 0 4 480 5 582 4 0 2 635 94 0 8 0 3351 44 6 0 7 6 47 8 0 0 193 207 8 5 6 11 71 54 1277 1729 8489 0 8564 4 8 2011 18 10 0 0 249 871 6272 0 444 60 18
CK_S118_2 X118 Hybrid CK Rhizosphere 2 P08 366 335 5485 6 3 8 430 14 93 0 6 107 48 260 8 0 0 594 28 10 8 29 879 28 5 0 0 37 47 112 0 0 5 56 12 10 0 0 8 62 1314 30120 4586 0 12968 4 0 1487 5 11 0 0 136 529 3347 0 136 19 0
CK_S118_3 X118 Hybrid CK Rhizosphere 3 P08 858 346 4382 22 2 14 236 58 60 0 23 116 13 183 0 0 0 1147 10 0 13 53 2204 48 10 5 3 14 34 5 0 7 0 73 9 12 31 2 15 143 484 3581 6200 0 81259 17 4 3431 7 5 4 3 152 537 2813 3 167 54 4
